title,link,displayed_link,snippet,snippet_highlighted_words,label
the biggest financial fraud: the history of bcci,https://ti-ukraine.org/en/news/the-biggest-financial-fraud-the-history-of-bcci/,https://ti-ukraine.org › news › the-biggest-financial-fra...,"in 1991, the prosecutor charged the bank and two of its investors – abedi and his friend naqvi. morgenthau claimed that usd 20 billion ...","['charged', 'bank']",relevant
bank of credit and commerce international scandal,https://www.epw.in/journal/2017/10/commentary/bank-credit-and-commerce-international-scandal.html,https://www.epw.in › journal › 2017/10 › commentary,a date that has gone largely unnoticed across the financial world was 5 july 2016. it marked the 25th anniversary of the closure of the bank of credit and ...,['Bank of Credit and'],relevant
anti-money laundering/combating the financing of ...,https://www.imf.org/external/np/leg/amlcft/eng/aml1.htm,https://www.imf.org › leg › amlcft › eng › aml1,the problem is global; money launderers and terrorist financiers exploit loopholes and differences among national aml/cft systems and move their funds to or ...,"['global', 'money', 'terrorist']",not relevant
bank of credit and commerce international,http://worldcat.org/identities/lccn-n92005130,http://worldcat.org › identities › lccn-n92005130,"bank of credit and commerce international. overview ... dirty money : bcci, the inside story of the world's sleaziest bank by mark potts( book ).","['Bank of Credit and Commerce International', 'money']",relevant
business leagues | internal revenue service,https://www.irs.gov/charities-non-profits/other-non-profits/business-leagues,https://www.irs.gov › other-non-profits › business-lea...,"review internal revenue code section 501(c)(6) for business league tax ... for the exemption of business leagues, chambers of commerce, real estate boards, ...","['tax', 'commerce']",not relevant
sales and use taxes: tax expenditures | cdtfa,https://www.cdtfa.ca.gov/formspubs/pub61.pdf,https://www.cdtfa.ca.gov › formspubs › pub61,"finance charges—receipts for finance charges are for the use of money or other value transferred on credit. therefore, such receipts are not subject to sales or ...","['money', 'credit']",not relevant
"payroll, hr and tax services | adp official site",https://www.adp.com/,https://www.adp.com,"adp offers industry-leading online payroll and hr solutions, plus tax, compliance, benefit administration and more.",['tax'],not relevant
crackdown on money laundering,https://scholarlycommons.law.northwestern.edu/cgi/viewcontent.cgi?referer=&httpsredir=1&article=1561&context=njilb,https://scholarlycommons.law.northwestern.edu › ...,"88 bank of credit and commerce international (bcci) investigation: hearings before the house comm. on banking, finance and urban affairs, 102d cong.","['Bank of Credit and Commerce International', 'Investigation']",relevant
new registration,https://tax.nv.gov/uploadedFiles/taxnvgov/Content/OnLineServices/Introduction%20to%20Nevada%20Tax.pdf,https://tax.nv.gov › Introduction to Nevada Tax,nevada tax center - homepage ... of credit. note: the amount calculated is based on the ... bank information is entered. note: if the routing and/or.,"['Tax', 'Credit', 'bank']",not relevant
banking fraud by the bank of credit and commerce ...,https://www.academia.edu/39517047/Banking_Fraud_by_The_Bank_of_Credit_and_Commerce_International_BCCI_,https://www.academia.edu › Banking_Fraud_by_The_...,"it was in the 1988 that us authorities in tampa, florida indicted officials of bcci for the financial fraud, money laundering, bribery and falsifying documents.","['fraud', 'money laundering']",relevant
intuit®: complete financial confidence,https://www.intuit.com/,https://www.intuit.com,"see how intuit products can work for you by joining the over 100 million people already using turbotax, quickbooks, mint, credit karma, and mailchimp to ...",['Credit'],not relevant
"fdic: law, regulations, related acts",https://www.fdic.gov/regulations/laws/rules/index.html,https://www.fdic.gov › regulations › laws › rules,"other federal financial agencies maintain their relevant banking laws and regulations on their own sites, which we link to below. table of ...",['banking'],not relevant
first convenience bank: home | first national bank texas,https://www.1stnb.com/,https://www.1stnb.com,home | first national bank texas - first convenience bank. ... choose to direct deposit your federal tax refund with us and get your money up to 5 days ...,"['Bank', 'Bank', 'tax', 'money']",not relevant
"transunion: credit scores, credit reports & credit check",https://www.transunion.com/,https://www.transunion.com,"transunion offers total credit protection all in one place from credit score, credit report and credit alert. check your credit score today from transunion!","['credit', 'credit', 'credit', 'credit', 'credit']",not relevant
frequently asked questions - louisiana department of revenue,https://revenue.louisiana.gov/faq/questionsandanswers/8,https://revenue.louisiana.gov › questionsandanswers,"how can a dealer get a credit or refund of sales tax paid on purchases of items that ... at the time of purchase, you should not be charged state sales tax.","['credit', 'tax', 'charged', 'tax']",not relevant
first commerce credit union | north florida & south georgia ...,https://www.firstcommercecu.org/,https://www.firstcommercecu.org,"first commerce credit union is a full-service credit union offering innovative financial solutions, digital banking tools, and exceptional service.","['Commerce Credit', 'credit', 'banking']",not relevant
filing & other general faqs,https://www.sos.state.tx.us/corp/filingandothergeneralfaqs.shtml,https://www.sos.state.tx.us › corp › filingandothergene...,reinstatement after tax forfeiture (tax code § 171.313) ... check or money order payable to the secretary of state through a u.s. bank or financial ...,"['tax', 'Tax', 'money', 'Bank']",not relevant
pa department of community & economic development,https://dced.pa.gov/,https://dced.pa.gov,interested in doing business in pennsylvania? we have the resources to help your business succeed. call us today.,,not relevant
home | community development financial institutions fund,https://www.cdfifund.gov/,https://www.cdfifund.gov,bank enterprise award program › the bea program provides awards to fdic-insured ... new markets tax credit program › the new markets tax credit encourages ...,"['Bank', 'Tax Credit', 'Tax Credit']",not relevant
federal trade commission | protecting america's consumers,https://www.ftc.gov/,https://www.ftc.gov,get your free credit report ... use our visualizations to explore scam and fraud trends in your state based on reports from ... will they demand money?,"['credit', 'fraud', 'money']",not relevant
"first citizens bank: personal banking, credit cards, loans",https://www.firstcitizens.com/,https://www.firstcitizens.com,first citizens provides a full range of banking products and services to meet your individual or business financial needs. learn more about our products and ...,['banking'],not relevant
nj mvc | vehicles exempt from sales tax,https://www.state.nj.us/mvc/vehicletopics/taxexempt.htm,https://www.state.nj.us › mvc › vehicletopics › taxexe...,state of new jersey or one of its agencies or political subdivisions. united nations or any other international organization of which the united states is a ...,['international'],not relevant
"seacoast bank: personal, business or commercial banking",https://www.seacoastbank.com/,https://www.seacoastbank.com,"offering convenient personal banking & business banking solutions like checking, savings, lending, mortgages, online banking & mobile banking, and more.","['banking', 'banking', 'banking', 'banking']",not relevant
lge community credit union: home page,https://www.lgeccu.org/,https://www.lgeccu.org,"lge community credit union connects metro atlanta to financial products, advice, and personalized ... save money & ace tax season with intuit turbotax.","['Credit', 'Money', 'Tax']",not relevant
"park national bank - official site - banking, credit cards ...",https://parknationalbank.com/,https://parknationalbank.com,"park national bank offers personal and business banking, checking, mortgages, loans, investing & more. visit us online or at one of our locations.","['Bank', 'banking', 'loans']",not relevant
26 u.s. code § 501 - exemption from tax on corporations ...,https://www.law.cornell.edu/uscode/text/26/501,https://www.law.cornell.edu › ... › PART I,(b) tax on unrelated business income and certain other activities ... a bank (as defined in section 581) or an insured credit union (within the meaning of ...,"['Tax', 'bank', 'credit']",not relevant
florida dept. of revenue - consumer information,https://floridarevenue.com/taxes/Pages/consumer.aspx,https://floridarevenue.com › taxes › Pages › consumer,you might pay florida tax to the seller. out-of-state retailers with a physical presence in florida with any number of taxable remote sales in florida are ...,['Tax'],not relevant
complaints about banks and lenders,https://www.usa.gov/complaints-lender,https://www.usa.gov › complaints-lender,"learn how to complain about a problem with a bank or a lending company, such as a mortgage provider. on this page. bank and credit product ...","['bank', 'Bank', 'Credit']",not relevant
suspicious activity report (sar) glossary codes and ...,https://www.nationalcrimeagency.gov.uk/who-we-are/publications/597-sar-glossary-codes-and-reporting-routes-june-2022,https://www.nationalcrimeagency.gov.uk › 597...,"prosperity – money laundering; fraud and other economic crime; bribery, international corruption and sanctions evasion; and cyber crime. commodities – firearms ...","['money laundering', 'fraud', 'international corruption', 'evasion']",not relevant
money and payments: the u.s. dollar in the age of digital ...,https://www.federalreserve.gov/publications/files/money-and-payments-20220120.pdf,https://www.federalreserve.gov › files › money-...,"central bank money carries neither credit nor liquidity risk, and ... these costs could benefit economic growth, enhance global commerce,.","['bank money', 'credit', 'global commerce']",not relevant
small business administration,https://www.sba.gov/,https://www.sba.gov,"we support america's small businesses. the sba connects entrepreneurs with lenders and funding to help them plan, start and grow their business.",,not relevant
the first bank of the united states,https://www.federalreservehistory.org/essays/first-bank-of-the-us,https://www.federalreservehistory.org › essays › first-b...,"the bank acted as the federal government's fiscal agent, collecting tax revenues, ... the bank could — and did — alter the supply of money and credit in the ...","['Bank', 'tax', 'bank', 'money', 'credit']",not relevant
hm revenue & customs,https://www.gov.uk/government/organisations/hm-revenue-customs,https://www.gov.uk › Organisations,"we are the uk's tax, payments and customs authority, and we have a vital purpose: we collect the money that pays for the uk's public services and help ...","['tax', 'money']",not relevant
aci fraud management for banking,https://www.aciworldwide.com/solutions/aci-fraud-management-banking,https://www.aciworldwide.com › Solutions,"prevent all types of payments fraud including real-time, card, check, ach, digital and online fraud, internal and anti-money laundering (aml) ...","['fraud', 'fraud', 'money laundering']",not relevant
the chips and science act: here's what's in it,https://www.mckinsey.com/industries/public-and-social-sector/our-insights/the-chips-and-science-act-heres-whats-in-it,https://www.mckinsey.com › industries › our-insights,"under the chips act, taxpaying entities receive a 25 percent advanced manufacturing investment tax credit for investments in semiconductor ...",['tax credit'],not relevant
bangladesh bank regulations and guidelines,https://www.bb.org.bd/en/index.php/about/guidelist,https://www.bb.org.bd › index.php › about › guidelist,related links · guidelines on money laundering & terrorist financing risk management guidelines for banks · guidance notes on prevention of money laundering for ...,"['Money Laundering', 'Terrorist', 'Banks', 'Money Laundering']",not relevant
pandora papers reveal emirati royal families' role in secret ...,https://www.icij.org/investigations/pandora-papers/pandora-papers-reveal-emirati-royal-families-role-in-secret-money-flows/,https://www.icij.org › investigations › pandora-papers-...,"in the 1990s, the bank of credit and commerce international — a global ... in 2009, tax justice network, an anti-corruption research and ...","['Bank of Credit and Commerce International', 'Tax', 'corruption']",not relevant
money laundering: what it is and how to prevent it,https://www.investopedia.com/terms/m/moneylaundering.asp,https://www.investopedia.com › ... › Definitions M - Z,the prevention of money laundering has become an international effort and now includes terrorist funding among its targets. the financial industry also has ...,"['money laundering', 'international', 'terrorist']",not relevant
money laundering defense attorneys in texas,https://freemanlaw.com/practice-areas/white-collar-criminal-defense/money-laundering/,https://freemanlaw.com › Practice Areas › White-Collar,"reports of foreign bank and financial accounts (fbar);; registration of money services business (rmsb), and; report of international transportation of currency ...","['Foreign Bank', 'Money', 'International']",not relevant
"much before punjab & maharashtra bank, there was the ...",https://theprint.in/pageturner/excerpt/much-before-punjab-maharashtra-bank-there-was-the-bcci-bank-of-crooks-and-criminals/913285/,https://theprint.in › PageTurner › Book Excerpts,"the multi-billion-dollar scam, leaving over 6,500 customers gasping to get their money back, was tied to drug money laundering, illicit arms ...","['money', 'money laundering']",relevant
fbi cites pending proceedings in 25-year old bcci bank ...,https://www.muckrock.com/news/archives/2017/dec/20/bcci-fbi-cia/,https://www.muckrock.com › news › archives › dec,... of the bank of credit and commerce international money laundering and embezzling investigation and the story of khalid bin mahfouz.,"['Bank of Credit and Commerce International money laundering', 'investigation']",relevant
the bcci scandal,https://www.int-comp.org/insight/2016/august/the-bcci-scandal/,https://www.int-comp.org › insight › august › the-bcci...,"in this, the liquidators alleged that the boe ignored fraud, money laundering and bribes at bcci and as it was bcci's regulator at the time, ...","['fraud', 'money laundering']",relevant
the bank secrecy act,https://www.fincen.gov/resources/statutes-and-regulations/bank-secrecy-act,https://www.fincen.gov › statutes-and-regulations › ba...,"the currency and foreign transactions reporting act of 1970—which ... the bsa is sometimes referred to as an ""anti-money laundering"" (aml) law or jointly as ...","['Foreign', 'money laundering']",not relevant
1991 more detail - bank of credit and commerce indicted ...,https://americasbesthistory.com/abhtimeline1991m2.html,https://americasbesthistory.com › ...,"july 29, 1991 - bank of credit and commerce international is indicted in new ... were indicted on twelve counts of bank fraud, money laundering, and theft.","['Bank of Credit and Commerce International', 'fraud', 'money laundering']",relevant
"e*trade | investing, trading & retirement",https://us.etrade.com/home,https://us.etrade.com › ...,"get convenient, low-fee banking from morgan stanley private bank. ... e*trade and its affiliates do not provide tax advice. offer valid for new e*trade ...","['banking', 'Bank', 'tax']",not relevant
wex inc.: global commerce platform simplifying business ...,https://www.wexinc.com/,https://www.wexinc.com,"wex helps you save money on fuel and manage all your fleet needs, including both ... new tax codes allow you to get your total tax break up front instead of ...","['money', 'tax', 'tax']",not relevant
authorities seeking author of book on money laundering ...,https://apnews.com/article/e9976ffc2327249ec0405598e0eee232,https://apnews.com › article,... drug money laundering at the bank of credit and commerce international ... u.s. investigation of former panamanian leader manuel noriega.,"['money laundering', 'Bank of Credit and Commerce International', 'investigation']",relevant
bank of credit and commerce international's criminal activity,https://studycorgi.com/bank-of-credit-and-commerce-internationals-criminal-activity/,https://studycorgi.com › ⚖️ Law,this case provides adequate information on how bcci bank was involved in a global financial crime of laundering billions of dollars ...,"['bank', 'global', 'laundering']",relevant
bloomberg.com,https://www.bloomberg.com/,https://www.bloomberg.com,"bloomberg delivers business and markets news, data, analysis, and video to the world, featuring stories from businessweek and bloomberg news.",,not relevant
taxable & non-taxable income - singapore,https://www.iras.gov.sg/taxes/corporate-income-tax/income-deductions-for-companies/taxable-non-taxable-income,https://www.iras.gov.sg › taxes › corporate-income-tax,"taxable income is income that is subject to tax, and not all income is taxable in singapore.",['tax'],not relevant
tax refund information,https://www.ncsecu.org/TaxServices/TaxRefundInformation.html,https://www.ncsecu.org › TaxServices › TaxRefundInf...,"if you are expecting a tax refund this year, the fastest way to receive your refund is to have the irs send the money to your account via direct deposit.","['tax', 'money']",not relevant
money laundering and corruption in international business,https://polamk.fi/documents/25254699/34112600/Korpen-Preliminary-Study-report.pdf/28a8408e-da5b-ceed-e8b9-9bbe45e9df90/Korpen-Preliminary-Study-report.pdf?t=1622706222599,https://polamk.fi › documents › Korpen-Prelimi...,"3.2 corruption and money laundering: the connection. ... benefit the credit reference bureau (crb) by checking bank clients, and help to ...","['Corruption', 'money laundering', 'Credit', 'bank']",not relevant
everything you should know about form 1099-k,https://www.uschamber.com/co/run/finance/1099-k-tax-form,https://www.uschamber.com › Run › Finance,"what is a 1099-k tax form? learn about the changes to the reporting threshold for 2023, the “transition period,” and what this means for your ...",['Tax'],not relevant
the u.s. knew for years that panama was full of shady money,https://www.yahoo.com/news/u-knew-years-panama-full-191219726.html,https://www.yahoo.com › news › u-knew-years-pana...,"in the 1970s, it adopted strict bank secrecy laws preventing its tax and ... of his dirty money to the bank of credit and commerce international (bcci), ...","['tax', 'money', 'Bank of Credit and Commerce International']",relevant
making payments to tax and revenue administration,https://www.alberta.ca/about-making-payments-tra.aspx,https://www.alberta.ca › about-making-payments-tra,electronic payment; credit card; interac e-transfer; cash or debit; paypal; cheque or money order; wire transfer; in person at your financial institution ...,"['Credit', 'money']",not relevant
shopify payments faq,https://help.shopify.com/en/manual/payments/shopify-payments/faq,https://help.shopify.com › ... › Shopify Payments,"do shopify payments fees include gst (goods and service tax) in australia? ... this is an international credit card purchase, because the customer's credit ...","['tax', 'international credit', 'credit']",not relevant
child support payment central (cspc) | office of child support,https://jfs.ohio.gov/ocs/employers/CSPC_Overview.stm,https://jfs.ohio.gov › ocs › employers › CSPC_Overview,"your payment may be in the form of a personal check, money order, ... when the source of the payment is the offsetting of a federal income tax refund, ...","['money', 'tax']",not relevant
credit suisse settles french tax probe for 238 mln euros,https://economictimes.indiatimes.com/news/international/business/credit-suisse-settles-french-tax-probe-for-238-mln-euros/articleshow/95063126.cms,https://economictimes.indiatimes.com › ... › Business,credit suisse group settled a tax fraud and money laundering case in france on monday with a 238 million euro ($234 million) payment to the ...,"['Credit', 'tax fraud', 'money laundering']",relevant
